1,410
2,7760
3,2050
4,4750
5,14550
6,2530
7,2410
8,1290
9,930
10,1260
11,1630
12,1360
13,770
14,180
15,1590
16,8100
17,3130
18,2890
19,880
20,1360
21,1310
22,50
23,2230
24,2810
25,2670
26,2510
27,2030
28,1970
29,700
30,3220
31,1500
32,990
33,920
34,1870
35,3780
36,3010
37,740
38,1830
39,3080
40,3760
41,3440
42,1740
43,1380
44,2380
45,1850
46,1050
47,2420
48,2600
49,490
50,1120
51,1970
52,1020
53,10090
54,5240
55,390
56,360
57,4890
58,2220
59,1310
60,2100
61,3280
62,1970
63,1390
64,2420
65,2450
66,2890
67,2720
68,2450
69,2330
70,6340
71,2100
72,1920
73,3270
74,2900
75,7490
76,2680
77,480
78,28810
79,1800
80,3150
81,8880
82,19870
83,12730
84,16070
85,7030
86,2610
87,8520
88,1500
89,2460
90,2360
91,1230
92,15830
93,1280
94,9160
95,810
96,820
97,4050
98,3880
99,3330
100,1650
101,26020
102,4930
103,2460
104,1230
105,2920
106,16600
