1,-10400
2,-12650
3,-12820
4,-15340
5,-15950
6,-16800
7,-10980
8,28830
9,33330
10,-19020
11,-21030
12,-26010
13,-4920
14,-28320
15,-12930
16,-28190
17,-16700
18,-20690
19,-18960
20,-16670
21,-31110
22,-27090
23,-26270
24,-24340
25,-10740
26,-21300
27,-21060
28,-22710
29,-24650
30,-26430
31,-15100
32,-9800
33,-18350
34,-19890
35,-21040
36,-21010
37,-22070
38,-760
39,-1170
40,-320
41,-1440
42,-3680
43,-2470
44,-3100
45,-2970
46,-2800
47,-2550
48,-3260
49,-3320
50,-2940
51,-1690
52,-1130
53,-1900
54,-2370
55,-1440
56,-1510
57,-2440
58,-1040
59,-820
60,64220
61,47750
62,55730
63,48730
64,42260
65,-1210
66,-2640
67,-8190
68,-11720
69,-9700
70,-4610
71,-10530
72,-3660
73,-6440
74,-18530
75,-8800
76,-18680
77,-21140
78,-20600
79,-20360
80,-18260
81,-19280
82,-20710
83,-20260
84,-21680
